what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1315914870706
locale,sysinfo,,,"sv_SE",1315914870706
processors,sysinfo,,,"2",1315914870706
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315914870706
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1315914870706
java.specification.name,sysinfo,,,"Java Platform API Specification",1315914870706
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315914870706
java.specification.version,sysinfo,,,"1.6",1315914870706
java.vendor,sysinfo,,,"Apple Inc.",1315914870706
java.version,sysinfo,,,"1.6.0_24",1315914870706
java.vm.info,sysinfo,,,"mixed mode",1315914870706
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1315914870706
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315914870706
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315914870706
java.vm.specification.version,sysinfo,,,"1.0",1315914870706
java.vm.vendor,sysinfo,,,"Apple Inc.",1315914870706
java.vm.version,sysinfo,,,"19.1-b02-334",1315914870706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315914871405
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1315914871771
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1315914871871
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1315914871874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315914872286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315914874024
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1315914875733
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1315914875792
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1315914875794
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1315914875814
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1315914875839
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1315914875851
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1315914880008
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315914880082
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1315914880248
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1315914880400
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1315914880933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315914884288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315914939348
