what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1299859087852
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1299859087852
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1299859087857
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1299859087857
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1299859087858
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1299859087858
os,sysinfo,,,"macosx",1299859087861
arch,sysinfo,,,"x86",1299859087861
ws,sysinfo,,,"cocoa",1299859087861
locale,sysinfo,,,"sv_SE",1299859087861
processors,sysinfo,,,"2",1299859087861
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1299859087861
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1299859087861
java.specification.name,sysinfo,,,"Java Platform API Specification",1299859087861
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299859087861
java.specification.version,sysinfo,,,"1.6",1299859087861
java.vendor,sysinfo,,,"Apple Inc.",1299859087861
java.version,sysinfo,,,"1.6.0_22",1299859087861
java.vm.info,sysinfo,,,"mixed mode",1299859087861
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299859087861
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299859087861
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299859087861
java.vm.specification.version,sysinfo,,,"1.0",1299859087861
java.vm.vendor,sysinfo,,,"Apple Inc.",1299859087861
java.vm.version,sysinfo,,,"17.1-b03-307",1299859087861
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1299859088925
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299859089212
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299859091189
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299859107104
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1299859107578
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1299859107626
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1299859107630
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1299859107631
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1299859107631
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1299859107632
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1299859107632
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1299859107632
